Ticket,Open Time,Type,Size,Item,Price,S / L,T / P,Close Time,Price,Commission,Taxes,Swap,Profit
87081498,2023.03.20 13:21:36,buy,0.75,eurusd.i,1.06857,1.0685,1.07059,2023.03.20 14:17:18,1.06922,-2.25,0,0,48.75
87091883,2023.03.20 14:25:11,buy,0.75,eurusd.i,1.06953,1.06855,1.07259,2023.03.20 15:54:17,1.07064,-2.25,0,0,83.25
87213180,2023.03.21 11:17:33,sell,0.75,eurusd.i,1.07293,1.07397,1.07,2023.03.21 12:32:03,1.07399,-2.25,0,0,-79.5
87222769,2023.03.21 12:34:23,sell,0.75,eurusd.i,1.07376,1.07478,0,2023.03.21 12:40:45,1.07398,-2.25,0,0,-16.5
87224489,2023.03.21 12:53:09,buy,0.75,eurusd.i,1.07433,1.07333,0,2023.03.21 13:07:20,1.07448,-2.25,0,0,11.25
87236406,2023.03.21 14:33:03,buy,0.75,eurusd.i,1.07805,1.07701,1.08105,2023.03.21 17:05:27,1.07699,-2.25,0,0,-79.5
87279378,2023.03.21 17:52:42,sell,0.75,eurusd.i,1.07728,1.07824,0,2023.03.21 18:08:25,1.07825,-2.25,0,0,-72.75
87283695,2023.03.21 18:15:38,sell,0.75,eurusd.i,1.07792,1.07896,0,2023.03.21 19:54:52,1.07688,-2.25,0,0,78
87354430,2023.03.22 11:05:03,sell,1,eurusd.i,1.07713,1.07817,0,2023.03.22 11:08:24,1.07786,-3,0,0,-73
87355183,2023.03.22 11:09:17,sell,1,eurusd.i,1.07741,1.07787,0,2023.03.22 11:28:21,1.07788,-3,0,0,-47
87358271,2023.03.22 11:29:21,buy,0.75,eurusd.i,1.07783,1.0779,1.08083,2023.03.22 16:39:55,1.07794,-2.25,0,0,8.25
87412597,2023.03.22 17:59:10,buy,0.75,eurusd.i,1.07971,1.0787,0,2023.03.22 18:05:54,1.07902,-2.25,0,0,-51.75
87414357,2023.03.22 18:06:44,sell,0.75,eurusd.i,1.07907,1.07954,0,2023.03.22 19:02:58,1.07954,-2.25,0,0,-35.25
87497838,2023.03.23 07:35:40,sell,0.75,eurusd.i,1.08995,1.09109,1.08693,2023.03.23 08:04:25,1.09041,-2.25,0,0,-34.5
87529248,2023.03.23 12:16:36,sell,0.75,eurusd.i,1.08927,1.09028,1.08567,2023.03.23 12:35:51,1.08885,-2.25,0,0,31.5
87535244,2023.03.23 13:07:24,sell,0.75,eurusd.i,1.08779,1.0887,0,2023.03.23 14:37:43,1.08702,-2.25,0,0,57.75
87556346,2023.03.23 15:45:59,buy,0.75,eurusd.i,1.08764,1.08845,0,2023.03.23 16:23:59,1.08867,-2.25,0,0,77.25
87816466,2023.03.27 10:48:28,sell,0.75,eurusd.i,1.07462,1.0757,0,2023.03.27 11:01:30,1.07571,-2.25,0,0,-81.75
87819740,2023.03.27 11:06:02,sell,0.75,eurusd.i,1.07603,1.07703,0,2023.03.27 11:08:09,1.0766,-2.25,0,0,-42.75
87820080,2023.03.27 11:08:22,buy,0.75,eurusd.i,1.07658,1.07623,0,2023.03.27 11:14:25,1.07633,-2.25,0,0,-18.75
87821096,2023.03.27 11:14:33,sell,0.75,eurusd.i,1.07634,1.0773,1.07133,2023.03.27 14:18:21,1.07733,-2.25,0,0,-74.25
87846641,2023.03.27 14:23:27,sell,0.75,eurusd.i,1.07752,1.07774,1.07474,2023.03.27 14:37:28,1.07774,-2.25,0,0,-16.5
87850596,2023.03.27 14:57:26,sell,0.75,eurusd.i,1.077,1.07804,0,2023.03.27 15:31:36,1.07804,-2.25,0,0,-78
87944099,2023.03.28 08:22:22,sell,0.75,eurusd.i,1.08072,1.08174,1.07531,2023.03.28 09:18:35,1.08176,-2.25,0,0,-78
87979250,2023.03.28 13:35:20,sell,0.75,eurusd.i,1.08258,1.08309,0,2023.03.28 14:34:14,1.08313,-2.25,0,0,-41.25
88081512,2023.03.29 09:23:08,sell,0.75,eurusd.i,1.08269,1.0831,0,2023.03.29 09:47:20,1.08312,-2.25,0,0,-32.25
88084524,2023.03.29 09:55:01,sell,0.75,eurusd.i,1.08253,1.08305,0,2023.03.29 10:25:31,1.08305,-2.25,0,0,-39
88296853,2023.03.30 18:16:47,sell,0.75,eurusd.i,1.09073,1.09049,0,2023.03.30 18:41:09,1.08976,-2.25,0,0,72.75
88362781,2023.03.31 10:59:02,sell,0.75,eurusd.i,1.08851,1.08844,0,2023.03.31 11:32:12,1.08757,-2.25,0,0,70.5
88532658,2023.04.03 11:46:42,sell,0.75,eurusd.i,1.08372,1.08428,1.0822,2023.04.03 11:51:35,1.08435,-2.25,0,0,-47.25
88533118,2023.04.03 11:51:49,buy,0.75,eurusd.i,1.08473,0,0,2023.04.03 11:54:37,1.08453,-2.25,0,0,-15
88534054,2023.04.03 11:59:39,buy,0.5,eurusd.i,1.08433,1.0845,0,2023.04.03 13:26:45,1.08664,-1.5,0,0,115.5
88634966,2023.04.04 09:25:06,buy,0.5,eurusd.i,1.0898,0,0,2023.04.04 09:27:03,1.08987,-1.5,0,0,3.5
88635161,2023.04.04 09:28:51,buy,0.5,eurusd.i,1.09002,1.08981,0,2023.04.04 09:30:10,1.08985,-1.5,0,0,-8.5
88635454,2023.04.04 09:31:58,buy,0.5,eurusd.i,1.08989,1.08938,1.09147,2023.04.04 10:13:09,1.09148,-1.5,0,0,79.5
