Time	Position	Symbol	Type	Volume	Price	S / L	T / P	Time	Price	Commission	Swap	Profit		
2023.05.22 09:06:41	227396	EURUSD	buy	2.5	 1.08175	 1.08125	 1.08325	2023.05.22 09:09:02	 1.08125	- 7.50	0.00	- 125.00		
2023.05.22 09:09:44	227587	EURUSD	buy	2.49	 1.08115	 1.08065	 1.08265	2023.05.22 09:10:45	 1.08090	- 7.47	0.00	- 62.25		
2023.05.22 09:10:47	227661	EURUSD	sell	2.48	 1.08090	 1.08140	 1.07940	2023.05.22 09:18:10	 1.08140	- 7.44	0.00	- 124.00		
2023.05.22 09:21:13	227988	EURUSD	buy	0.82	 1.08167	 1.08017	 1.08317	2023.05.22 09:21:18	 1.08165	- 2.46	0.00	- 1.64		
2023.05.22 09:21:23	228014	EURUSD	buy	2.47	 1.08167	 1.08119	 1.08319	2023.05.22 09:58:33	 1.08119	- 7.41	0.00	- 118.56		
2023.05.22 10:08:16	229981	EURUSD	sell	2.46	 1.08114	 1.08114	 1.07903	2023.05.22 10:20:10	 1.07987	- 7.38	0.00	 311.81		
2023.05.22 10:25:36	231161	EURUSD	sell	2.48	 1.08044	 1.08044	 1.07894	2023.05.22 10:42:40	 1.08020	- 7.44	0.00	 59.52		
2023.05.22 11:13:20	232930	EURUSD	sell	2.46	 1.08014	 1.08060	 1.07909	2023.05.22 11:19:59	 1.08060	- 7.38	0.00	- 113.16		
2023.05.22 11:21:29	233104	EURUSD	sell	2.46	 1.08043	 1.08099	 1.07853	2023.05.22 11:41:20	 1.08053	- 7.38	0.00	- 24.60		
2023.05.22 11:49:07	234162	EURUSD	sell	2.47	 1.08096	 1.08146	 1.07946	2023.05.22 11:55:04	 1.08105	- 7.41	0.00	- 22.23		
2023.05.22 11:57:32	234498	EURUSD	sell	2.47	 1.08089	 1.08139	 1.07939	2023.05.22 12:05:06	 1.08139	- 7.41	0.00	- 123.50		
2023.05.22 12:58:44	236795	EURUSD	sell	2.46	 1.08182	 1.08232	 1.08032	2023.05.22 13:17:09	 1.08232	- 7.38	0.00	- 123.00		
2023.05.22 13:58:09	239310	EURUSD	sell	0.01	 1.08204	 1.08254	 1.08054	2023.05.22 13:58:35	 1.08204	- 0.03	0.00	0.00		
2023.05.22 15:00:12	242741	EURUSD	sell	2.44	 1.08210	 1.08260	 1.08060	2023.05.22 15:02:06	 1.08228	- 7.32	0.00	- 43.92		
2023.05.22 15:02:29	242873	EURUSD	sell	2.44	 1.08211	 1.08261	 1.08061	2023.05.22 15:25:43	 1.08261	- 7.32	0.00	- 122.00		
2023.05.22 15:32:32	244362	EURUSD	sell	2.43	 1.08259	 1.08309	 1.08109	2023.05.22 15:35:21	 1.08310	- 7.29	0.00	- 123.93		
2023.05.22 15:38:19	244889	EURUSD	sell	2.41	 1.08281	 1.08281	 1.07980	2023.05.22 16:21:11	 1.08140	- 7.23	0.00	 339.81		
2023.05.22 16:22:04	247664	EURUSD	sell	0.82	 1.08140	 1.08290	 1.07990	2023.05.22 16:22:11	 1.08140	- 2.46	0.00	0.00		
2023.05.22 16:22:22	247676	EURUSD	sell	2.45	 1.08138	 1.08157	 1.07988	2023.05.22 16:22:47	 1.08145	- 7.35	0.00	- 17.15		
2023.05.22 16:27:29	247875	EURUSD	sell	2.44	 1.08089	 1.08118	 1.07939	2023.05.22 16:30:11	 1.08110	- 7.32	0.00	- 51.24		
2023.05.22 17:16:31	252296	EURUSD	sell	2.44	 1.08101	 1.08151	 1.07949	2023.05.22 17:32:50	 1.08106	- 7.32	0.00	- 12.20		
2023.05.22 17:37:39	253575	EURUSD	sell	2.44	 1.08117	 1.08167	 1.07967	2023.05.22 17:40:29	 1.08117	- 7.32	0.00	0.00		
2023.05.22 17:41:21	253731	EURUSD	sell	2.44	 1.08096	 1.08146	 1.07946	2023.05.22 17:42:52	 1.08101	- 7.32	0.00	- 12.20		
2023.05.23 15:49:33	285931	EURUSD	buy	2.41	 1.07681	 1.07631	 1.07838	2023.05.23 15:58:41	 1.07631	- 7.23	0.00	- 120.50		
